lokasi,nama_komoditas,1/1/17,1/2/17,1/3/17,1/4/17,1/5/17,1/6/17,1/7/17,1/8/17,1/9/17,1/10/17,1/11/17,1/12/17,1/13/17,1/14/17,1/15/17,1/16/17,1/17/17,1/18/17,1/19/17,1/20/17,1/21/17,1/22/17,1/23/17,1/24/17,1/25/17,1/26/17,1/27/17,1/28/17,1/29/17,1/30/17,1/31/17
Pasar Andir,Beras Medium,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,25000,10000,0,0,10000,10000
Pasar Andir,Cabe Merah,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,50000,50000
Pasar Andir,Bawang Merah,0,30000,30000,30000,30000,30000,0,15000,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000
Pasar Andir,Daging Ayam Ras,0,32000,32000,32000,32000,32000,0,16000,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000
Pasar Andir,Telur Ayam Ras,0,23000,22000,21000,21000,21000,0,0,21000,21000,21000,21000,21000,0,0,19500,19500,19500,19500,19500,0,0,19500,19500,19500,19500,19500,0,0,19500,19500
Pasar Andir,Daging Sapi,0,120000,120000,120000,120000,120000,0,60000,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000
Pasar Andir,Minyak Goreng,0,14500,14500,14500,14500,14500,0,7250,14500,14500,14500,14500,14500,0,0,14500,14500,14500,14500,14500,0,0,14500,14500,14500,14500,14500,0,0,14500,14500
Pasar Andir,Gula Pasir,0,15000,15000,15000,15000,15000,0,7500,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000
Pasar Andir,Kentang,0,12000,12000,12000,12000,12000,0,6000,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000
Pasar Andir,Kedelai,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000
